link,title
http://www.blog.pythonlibrary.org/2016/11/09/an-intro-to-aiohttp/,An intro to aiohttp
http://www.blog.pythonlibrary.org/2016/11/08/python-201-is-the-featured-book-on-leanpub-today/,Python 201 is the Featured Book on Leanpub Today
http://www.blog.pythonlibrary.org/2016/11/07/python-101-is-free-for-48-hours/,Python 101 is FREE for 48 hours!
http://www.blog.pythonlibrary.org/2016/11/07/pydev-of-the-week-al-sweigart/,PyDev of the Week: Al Sweigart
http://www.blog.pythonlibrary.org/2016/11/01/wxpython-cookbook-writing-update-beta-version-available/,wxPython Cookbook Writing Update: Beta Version Available
http://www.blog.pythonlibrary.org/2016/10/31/pydev-of-the-week-maurits-van-rees/,PyDev of the Week: Maurits van Rees
http://www.blog.pythonlibrary.org/2016/10/26/creating-graphs-with-python-and-goopycharts/,Creating Graphs with Python and GooPyCharts
http://www.blog.pythonlibrary.org/2016/10/24/pydev-of-the-week-brianna-laugher/,PyDev of the Week: Brianna Laugher
http://www.blog.pythonlibrary.org/2016/10/17/python-201-intermediate-python-free-until-wednesday/,Python 201: Intermediate Python FREE until Wednesday!
http://www.blog.pythonlibrary.org/2016/10/17/pydev-of-the-week-glyph-lefkowitz/,PyDev of the Week: Glyph Lefkowitz
